"externalId","productCost","productStock"
"80000086-1697443678","20000.00","0"
"80000026-1697443532","6307.282","489"
"800000C3-1697443683","6773.00","0"
"80000028-1697443532","4481.48984","1499"
"800000BB-1697443682","11655.00","0"
"80000019-1697443419","15500.00","0"
"80000018-1697443419","13650.00","340"
"80000017-1697443419","16673.91984","2500"
"80000016-1697443418","13650.00","340"
"8000003C-1697443604","14648.00","0"
"80000174-1697443698","22050.00","0"
"8000016B-1697443697","13388.00","0"
"80000169-1697443697","22050.00","0"
"800000BA-1697443682","6458.00","0"
"8000000F-1697443162","12250.00","0"
"8000016A-1697443697","14805.00","0"
"8000000E-1697443162","85457.02771","240"
"8000000D-1697443162","12250.00","0"
"8000000C-1697443162","74691.49734","128"
"80000022-1697443531","2915.00","0"
"80000020-1697443531","5198.00","0"
"8000001E-1697443531","8580.00","0"
"8000016E-1697443697","129150.00","0"
"80000161-1697443696","14963.00","-120"
"800000B9-1697443682","7403.00","0"
"800000B8-1697443682","8282.00","0"
"800000B7-1697443682","6523.00","0"
"8000001D-1697443531","11055.00","0"
"80000021-1697443531","4675.00","0"
"8000001F-1697443531","7013.00","0"
"80000005-1696492941","13140.17083","1439"
"8000003D-1697443604","86250.00","0"
"8000016D-1697443697","365272.44694","680"
"80000112-1697443690","32500.00","0"
"80000111-1697443690","16250.00","0"
"8000010B-1697443689","32500.00","0"
"8000010A-1697443689","16250.00","0"
"80000128-1697443692","3163.00","-120"
"80000110-1697443690","12250.00","0"
"800000C2-1697443683","21263.00","0"
"80000127-1697443692","13761.16722","9000"
"80000126-1697443692","3163.00","0"
"80000125-1697443692","3163.00","0"
"80000124-1697443692","3163.00","0"
"800000B6-1697443682","4250.00","0"
"800000B5-1697443682","4250.00","0"
"800000B4-1697443682","4250.00","0"
"800000B3-1697443682","4250.00","0"
"800000AF-1697443681","6232.70351","1800"
"800000AE-1697443681","11686.31907","3600"
"800000AD-1697443681","22593.55021","2400"
"8000002F-1697443533","20000.00","0"
"8000002E-1697443533","16875.00","0"
"8000002D-1697443532","14750.00","0"
"80000003-1696308268","0.00","0"
"80000008-1696492942","12375.00","0"
"80000007-1696492942","12375.00","0"
"8000000B-1697442462","0.00","0"
"80000015-1697443418","13650.00","340"
"80000014-1697443418","16533.49013","2020"
"80000013-1697443418","13650.00","170"
"80000123-1697443691","7906.00","0"
"80000122-1697443691","7906.00","0"
"80000095-1697443679","3850.00","0"
"80000094-1697443679","3850.00","0"
"80000093-1697443679","3850.00","0"
"80000092-1697443679","3850.00","0"
"80000091-1697443679","3850.00","0"
"80000090-1697443679","3850.00","0"
"8000008F-1697443679","3850.00","0"
"8000008E-1697443679","3850.00","0"
"8000008D-1697443679","3850.00","0"
"8000008C-1697443678","3850.00","0"
"8000008B-1697443678","3850.00","0"
"8000008A-1697443678","3850.00","0"
"80000089-1697443678","3850.00","0"
"80000088-1697443678","3850.00","0"
"80000087-1697443678","3850.00","0"
"8000015E-1697443696","29925.00","0"
"80000160-1697443696","19688.00","0"
"8000004F-1697443606","8800.00","0"
"8000004E-1697443606","4744.00","0"
"80000047-1697443605","5381.00","0"
"80000046-1697443605","5381.00","0"
"80000042-1697443605","8269.00","0"
"80000011-1697443418","15500.00","0"
"80000064-1697443607","8138.00","0"
"80000063-1697443607","5644.00","0"
"80000062-1697443607","4594.00","0"
"80000061-1697443607","3938.00","0"
"80000059-1697443606","2375.00","0"
"80000058-1697443606","2375.00","0"
"80000060-1697443607","8138.00","0"
"8000005F-1697443607","5644.00","0"
"8000005E-1697443607","4594.00","0"
"8000005D-1697443607","3938.00","0"
