"ExternalId","CreditLimit","CreditTerm"
"201001VNS6","30000000","Net 60"
"201002","30000000","null"
"201003","30000000","null"
"202001","30000000","null"
"202002","0","null"
"202003","30000000","null"
"202004","30000000","null"
"203001","30000000","null"
"203002","30000000","null"
"203003","30000000","null"
"204001","30000000","null"
"204001TH","0","null"
"204001 TH","0","null"
"204002","30000000","null"
"204003","30000000","null"
"204004","30000000","null"
"204009","0","null"
"204010","0","null"
"207001","30000000","null"
"207002","30000000","null"
"208001","30000000","null"
"208002","30000000","null"
"208003","30000000","null"
"208004","30000000","null"
"208005","30000000","null"
"208006","30000000","null"
"208007","30000000","null"
"208008","30000000","null"
"208009","30000000","null"
"208010","30000000","null"
"208011","30000000","null"
"208012","30000000","null"
"208013","30000000","null"
"208014","30000000","null"
"208015","30000000","null"
"208016","30000000","null"
"208017","30000000","null"
"208018","0","null"
"208022","0","null"
"209001","30000000","null"
"209002","30000000","null"
"211001","30000000","null"
"211002","30000000","null"
"211003","30000000","null"
"211004","0","null"
"212001","30000000","Net 30"
"212002","30000000","Net 30"
"212003","30000000","null"
"212004","0","Net 30"
"212005","30000000","null"
"212006","30000000","null"
"212007","30000000","null"
"212011","200000000","Net 30"
"212012","0","Net 30"
"213001","30000000","Net 30"
"213002","30000000","Net 30"
"213003","30000000","null"
"213004","30000000","null"
"213005","30000000","Net 30"
"213007","30000000","Net 30"
"213008","30000000","null"
"213009","30000000","null"
"213010","0","null"
"214001","30000000","Net 30"
"214002","30000000","null"
"214003","30000000","Net 30"
"214004","30000000","Net 30"
"214005","0","Net 30"
"214006","30000000","Net 30"
"214007","30000000","Net 30"
"214012","30000000","Net 30"
"215001","30000000","Net 30"
"216001","30000000","Net 30"
"216002","30000000","Net 30"
"216003","30000000","Net 30"
"216004","30000000","Net 30"
"216005","30000000","Net 30"
"217001","30000000","Net 30"
"217002","30000000","Net 30"
"219001","30000000","null"
"219002","30000000","null"
"219003","0","null"
"219004","0","null"
"220001","30000000","null"
"220002","30000000","null"
"220003","30000000","null"
"220004","30000000","Net 30"
"220005","30000000","Net 30"
"220006","30000000","null"
"220007","30000000","null"
"220008","30000000","Net 30"
"220009","30000000","Net 30"
"220010","30000000","Net 30"
"220011","30000000","null"
"220012","0","null"
"220013","30000000","null"
"220014","30000000","null"
"220015","0","Net 45"
"220016","30000000","null"
"220017","30000000","Net 30"
"220018","30000000","Net 30"
"220019","30000000","Net 30"
"220020","30000000","Net 30"
"220021","0","Net 30"
"220028","30000000","null"
"220032","0","null"
"222001","30000000","null"
"222002","30000000","null"
"222003","30000000","Net 30"
"222004","30000000","Net 30"
"222005","30000000","Net 30"
"222006","30000000","Net 30"
"222007","30000000","null"
"222010","0","null"
"222012","0","null"
"224001","0","null"
"224002","0","Net 30"
